月份,發生地點,死亡人數,存活人數,車種,經度,緯度
01月 ,Taitung,1,0,普通重型-機車;自用-小客車,121.460936,23.326655
01月 ,Kaohsiung,1,0,自用-大貨車;普通重型-機車;自用-小客車,120.365555,22.589883
01月 ,Taoyuan,1,0,普通重型-機車;行人-人,121.374971,25.029664
01月 ,Chiayi,1,0,行人-人;自用-小客車,120.23893,23.461494
01月 ,Taichung,1,0,普通重型-機車,120.694917,24.052294
02月 ,Kaohsiung,1,3,自用-小客車;自用-小客車;乘客-人;乘客-人,120.305,22.63248
02月 ,Kaohsiung,1,0,普通重型-機車,120.4166,22.78099
02月 ,Taoyuan,1,0,自用-小客車;大型重型-機車,121.290784,25.005376
02月 ,Changhua,1,2,營業用-曳引車;普通重型-機車;自用-小貨車;自用-小客車;自用-大貨車;自用-小客車;自用-小貨車;自用-小客車;自用-小客車,120.416775,24.077235
02月 ,Miaoli,1,0,自用-小客車;自用-小客車;行人-人;普通重型-機車;普通重型-機車,120.86622,24.64073
02月 ,Hsinchu,1,0,營業用-大貨車;普通重型-機車,120.934367,24.790406
02月 ,Hsinchu,1,1,普通重型-機車;乘客-人,120.969854,24.728684
02月 ,Kaohsiung,1,0,自用-小貨車;普通重型-機車,120.343007,22.65044
02月 ,Taipei,1,0,普通重型-機車;自用-小客車,121.429959,25.11793
02月 ,Taipei,1,0,普通重型-機車,121.443241,25.024787
02月 ,Taipei,1,0,普通重型-機車;自用-小客車;普通重型-機車;自用-小客車,121.441132,25.000711
02月 ,Taoyuan,1,1,自用-小貨車;乘客-人,121.208508,24.984253
02月 ,Taoyuan,1,0,自用-小客車;普通重型-機車;自用-小客車,121.257037,24.868543
02月 ,Changhua,1,0,自用-小客車;普通重型-機車,120.548323,23.89076
02月 ,Kaohsiung,1,0,營業用-曳引車;普通重型-機車,120.371235,22.574926
02月 ,Nantou,1,1,自用-小貨車;自用-小貨車;自用-大貨車;自用-小客車,120.701804,23.856058
02月 ,Taipei,1,0,普通重型-機車;自用-小貨車,121.459527,25.145854
02月 ,Taichung,1,1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車,120.674084,24.189546
02月 ,Taipei,1,0,普通重型-機車;自用-小客車;營業用-大貨車,121.384077,25.100406
02月 ,Kaohsiung,1,0,自用-小客車;行人-人,120.2791,22.64994
02月 ,Taichung,1,0,普通重型-機車,120.693243,24.050776
02月 ,Kaohsiung,1,0,自用-小客車;普通重型-機車,120.422738,22.582813
02月 ,Miaoli,1,0,普通重型-機車,120.812217,24.38724
02月 ,Pingtung,1,0,營業用-大貨車;普通重型-機車,120.530841,22.552879
02月 ,Taichung,1,2,普通重型-機車;行人-人;乘客-人,120.65412,24.221181
02月 ,Taipei,1,0,普通重型-機車,121.463212,25.039614
02月 ,Taoyuan,1,0,普通重型-機車,121.21929,24.879958
02月 ,Taoyuan,1,0,行人-人;自用-大貨車,121.342456,25.001473
02月 ,Tainan,1,0,行人-人;自用-小貨車;自用-小客車,120.147391,23.078375
02月 ,Tainan,1,0,普通重型-機車,120.204118,22.97518
02月 ,Changhua,1,0,普通重型-機車,120.593539,24.095809
02月 ,Taoyuan,1,0,普通重型-機車,121.265152,25.118334
02月 ,Changhua,1,1,自用-小客車;自用-小貨車,120.447865,23.967903
02月 ,Kaohsiung,1,2,自用-小貨車;自用-小貨車;乘客-人,120.667477,23.056742
02月 ,Taichung,1,0,動力機械-其他車;普通重型-機車;自用-小客車,120.672085,24.201262
02月 ,Tainan,1,0,自用-小貨車,120.362877,23.175872
02月 ,Nantou,1,1,租賃車-小客車;乘客-人,120.655432,23.616165
02月 ,Taichung,1,1,普通輕型-機車;普通重型-機車,120.707499,24.260261
02月 ,Taitung,1,0,自用-大貨車,121.049162,23.158272
02月 ,Yilan,1,1,自用-小客車;普通重型-機車,121.790365,24.760453
02月 ,Taitung,1,0,行人-人;自用-小貨車,121.418021,23.253572
02月 ,Changhua,1,0,普通重型-機車,120.4733,24.15059
02月 ,Taichung,1,0,普通重型-機車,120.719306,24.082765
02月 ,Kaohsiung,1,1,普通重型-機車;腳踏自行車-慢車,120.3063,22.67525
02月 ,Taoyuan,1,1,普通重型-機車;乘客-人,121.387489,25.008862
02月 ,Chiayi,1,0,自用-小客車,120.33067,23.570381
02月 ,Changhua,1,0,腳踏自行車-慢車,120.457436,24.108489
02月 ,Taoyuan,1,0,普通重型-機車,121.332019,24.988436
02月 ,Taitung,1,0,普通重型-機車,121.363891,23.097829
02月 ,Kaohsiung,1,1,普通重型-機車;行人-人,120.306121,22.602985
02月 ,Taoyuan,1,0,電動自行車-慢車;自用-小客車,121.324311,24.952343
02月 ,Taipei,1,1,普通重型-機車;普通重型-機車,121.511145,25.063
02月 ,Taipei,1,0,計程車-小客車,121.668533,25.081816
02月 ,Taichung,1,0,普通重型-機車;自用-小貨車;營業用-大貨車,120.705886,24.116983
02月 ,Kaohsiung,1,0,普通重型-機車;自用-小貨車,120.413114,22.574253
02月 ,Kaohsiung,1,0,普通重型-機車;營業用-大貨車,120.5327,22.95206
02月 ,Taipei,1,0,自用-小貨車;行人-人,121.430514,24.964815
02月 ,Taichung,1,0,自用-大貨車;普通重型-機車,120.713886,24.07999
02月 ,Pingtung,1,0,普通重型-機車,120.463795,22.586757
02月 ,Taichung,1,0,自用-小貨車;行人-人;自用-小貨車,120.568376,24.121843
02月 ,Kaohsiung,1,0,普通重型-機車,120.37336,22.536138
02月 ,Chiayi,1,0,自用-小貨車;普通重型-機車,120.460348,23.472735
02月 ,Taoyuan,1,0,普通重型-機車,121.365025,25.027631
02月 ,Taoyuan,1,0,普通輕型-機車,121.13029,25.047907
02月 ,Taoyuan,1,0,自用-小客車;腳踏自行車-慢車,121.04965,25.004336
02月 ,Tainan,1,2,普通重型-機車;計程車-小客車;乘客-人,120.216256,23.022086
02月 ,Taipei,1,0,普通重型-機車;自用-小客車,121.641586,25.062414
02月 ,Kaohsiung,1,0,自用-曳引車;普通重型-機車,120.353623,22.705133
02月 ,Kaohsiung,1,0,營業用-半聯結車;普通重型-機車,120.350645,22.791981
02月 ,Tainan,1,0,普通重型-機車;自用-小客車,120.190883,23.058191
02月 ,Pingtung,1,0,普通重型-機車;自用-曳引車;普通重型-機車,120.489331,22.58792
02月 ,Chiayi,1,0,營業用-曳引車;腳踏自行車-慢車,120.355944,23.523263
02月 ,Taichung,1,0,自用-小客車;普通重型-機車,120.684991,24.315208
